HH-pol,HV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,NDVI,SM1 (%),Crop Name,label
-7.9858,-13.5401,5.554239999999999,1.2246467991473532e-16,-1.0,19,0.6382055282592773,11.0666666666667,Perl Millet,Medium
-11.5998,-15.2404,3.640609999999999,1.2246467991473532e-16,-1.0,5,0.132065936923027,2.7,Fallow,Low
-10.1549,-16.6594,6.504490000000002,1.2246467991473532e-16,-1.0,5,0.1708304733037948,1.8,Fallow,Low
-10.2777,-15.6244,5.3467199999999995,1.2246467991473532e-16,-1.0,5,0.1409751921892166,6.5,Fallow,Low
-11.4101,-14.1852,2.7751,1.2246467991473532e-16,-1.0,5,0.1530496925115585,4.3,Fallow,Low
-9.9917,-17.7198,7.728040000000002,1.2246467991473532e-16,-1.0,5,0.193782553076744,4.3,Fallow,Low
-9.9935,-17.5946,7.601040000000001,1.2246467991473532e-16,-1.0,19,0.1742402017116546,11.1,Perl Millet,Medium
-16.1122,-16.4793,0.3670700000000018,1.2246467991473532e-16,-1.0,5,0.1388639360666275,3.4,Fallow,Low
-12.4059,-18.2571,5.851179999999999,1.2246467991473532e-16,-1.0,5,0.1326895058155059,3.4,Fallow,Low
-10.1031,-20.2687,10.165610000000001,1.2246467991473532e-16,-1.0,19,0.7460227608680725,10.0,Perl Millet,Medium
-11.4236,-18.8493,7.42567,1.2246467991473532e-16,-1.0,5,0.2370605170726776,3.5,Fallow,Low
-10.2768,-15.4872,5.210369999999999,1.2246467991473532e-16,-1.0,19,0.7163880467414856,24.0,Perl Millet,Medium
-10.5069,-19.343,8.836090000000002,1.2246467991473532e-16,-1.0,19,0.2367513179779052,9.0,Perl Millet,Low
-9.732,-20.6896,10.95757,1.2246467991473532e-16,-1.0,5,0.2996071279048919,8.1,Fallow,Low
-4.6154,-16.6383,12.02291,1.2246467991473532e-16,-1.0,5,0.2722007036209106,8.2,Fallow,Low
-5.9683,-17.7861,11.817820000000001,1.2246467991473532e-16,-1.0,5,0.2924412786960602,7.63333333333333,Fallow,Low
-8.3486,-15.8898,7.541180000000001,1.2246467991473532e-16,-1.0,5,0.1381556838750839,6.7,Fallow,Low
-11.1466,-17.5219,6.375380000000002,1.2246467991473532e-16,-1.0,5,0.1887775063514709,4.5,Fallow,Low
-8.5232,-20.6759,12.152749999999997,1.2246467991473532e-16,-1.0,5,0.1532670706510543,7.2,Fallow,Low
-10.1982,-20.332,10.133780000000002,1.2246467991473532e-16,-1.0,5,0.6329331398010254,10.9,Fallow,Medium
-8.4192,-16.5336,8.114429999999999,1.2246467991473532e-16,-1.0,5,0.1305814236402511,7.3,Fallow,Low
-12.539,-19.5973,7.058259999999999,1.2246467991473532e-16,-1.0,5,0.1673840582370758,3.1,Fallow,Low
-9.7171,-19.0863,9.36921,1.2246467991473532e-16,-1.0,5,0.1474513560533523,6.3,Fallow,Low
-8.5831,-19.8472,11.264040000000001,1.2246467991473532e-16,-1.0,5,0.7956998348236084,8.2,Fallow,Low
-10.1058,-19.3042,9.19837,1.2246467991473532e-16,-1.0,5,0.1617254912853241,3.1,Fallow,Low
-8.6396,-17.6376,8.99798,1.2246467991473532e-16,-1.0,5,0.1887338608503341,3.06666666666667,Fallow,Low
-11.7059,-19.3558,7.649889999999999,1.2246467991473532e-16,-1.0,5,0.2282032519578933,4.8,Fallow,Low
-12.5956,-18.662,6.066440000000002,1.2246467991473532e-16,-1.0,5,0.2376646697521209,6.0,Fallow,Low
-8.3175,-16.2429,7.925369999999999,1.2246467991473532e-16,-1.0,5,0.1740141808986663,4.7,Fallow,Low
-13.6996,-17.9134,4.21382,1.2246467991473532e-16,-1.0,5,0.1222675368189811,5.3,Fallow,Low
-12.8282,-17.0029,4.17469,1.2246467991473532e-16,-1.0,5,0.1520847231149673,3.93333333333333,Fallow,Low
-10.1432,-16.1852,6.042,1.2246467991473532e-16,-1.0,5,0.1820766329765319,7.5,Fallow,Low
-9.9271,-13.4896,3.5624599999999997,1.2246467991473532e-16,-1.0,5,0.153906300663948,5.5,Fallow,Low
-8.0257,-17.0013,8.9756,1.2246467991473532e-16,-1.0,5,0.136806309223175,3.6,Fallow,Low
-8.5009,-14.9032,6.40225,1.2246467991473532e-16,-1.0,19,0.6718523502349854,24.3,Perl Millet,High
-6.7915,-13.4038,6.61237,1.2246467991473532e-16,-1.0,5,0.1762510240077972,4.13333333333333,Fallow,Low
-11.3993,-16.9571,5.557829999999999,1.2246467991473532e-16,-1.0,5,0.1785706579685211,3.9,Fallow,Low
-10.3728,-18.1066,7.73386,1.2246467991473532e-16,-1.0,5,0.1486236006021499,3.2,Fallow,Low
-12.7393,-18.6088,5.869530000000001,1.2246467991473532e-16,-1.0,5,0.15629643201828,6.2,Fallow,Low
-13.7772,-20.5564,6.779219999999999,1.2246467991473532e-16,-1.0,5,0.1456126570701599,6.0,Fallow,Low
-13.0178,-18.8731,5.855320000000001,1.2246467991473532e-16,-1.0,5,0.17074516415596,5.2,Fallow,Low
-12.1288,-17.8379,5.70909,1.2246467991473532e-16,-1.0,5,0.1500089913606643,4.6,Fallow,Low
-10.5608,-18.9054,8.34457,1.2246467991473532e-16,-1.0,19,0.6024757623672485,7.2,Perl Millet,Low
-10.8719,-17.31,6.438100000000002,1.2246467991473532e-16,-1.0,5,0.1340416073799133,6.4,Fallow,Low
-11.117,-17.8861,6.769149999999998,1.2246467991473532e-16,-1.0,13,0.1856730431318283,9.6,Lemon,Low
-8.475,-17.8361,9.36101,1.2246467991473532e-16,-1.0,5,0.1727050840854644,3.9,Fallow,Low
-13.2706,-18.08,4.809409999999998,1.2246467991473532e-16,-1.0,5,0.3040322661399841,9.9,Fallow,Medium
-9.5277,-15.9263,6.398580000000001,1.2246467991473532e-16,-1.0,5,0.2588304877281189,4.6,Fallow,Low
-11.3504,-18.3783,7.027919999999998,1.2246467991473532e-16,-1.0,19,0.5749611854553223,9.4,Perl Millet,Low
-11.0527,-20.6059,9.553199999999999,1.2246467991473532e-16,-1.0,19,0.4375351667404175,5.6,Perl Millet,Low
-10.5546,-18.7343,8.179609999999998,1.2246467991473532e-16,-1.0,5,0.5130549669265747,3.63333333333333,Fallow,Low
-8.0458,-16.0443,7.9985599999999994,1.2246467991473532e-16,-1.0,5,0.1615144908428192,4.8,Fallow,Low
-11.4912,-14.5809,3.089699999999999,1.2246467991473532e-16,-1.0,5,0.1384700983762741,6.0,Fallow,Low
-12.4182,-19.9374,7.519219999999999,1.2246467991473532e-16,-1.0,5,0.1133000403642654,7.0,Fallow,Low
-8.4706,-18.0747,9.604040000000001,1.2246467991473532e-16,-1.0,5,0.1328450292348861,6.1,Fallow,Low
-9.3815,-15.6557,6.274180000000001,1.2246467991473532e-16,-1.0,5,0.1321548223495483,4.66666666666667,Fallow,Low
-9.7678,-19.8534,10.085609999999999,1.2246467991473532e-16,-1.0,5,0.1235032603144645,5.6,Fallow,Low
-8.0899,-20.0004,11.9105,1.2246467991473532e-16,-1.0,5,0.1037763059139251,6.0,Fallow,Low
-13.2588,-19.6964,6.437570000000001,1.2246467991473532e-16,-1.0,5,0.1372922509908676,7.5,Fallow,Low
-12.577,-18.348,5.770990000000001,1.2246467991473532e-16,-1.0,5,0.3845933377742767,6.0,Fallow,Low
-12.4241,-21.5835,9.15938,1.2246467991473532e-16,-1.0,5,0.1560177206993103,4.23333333333333,Fallow,Low
-8.8103,-16.999,8.188690000000001,1.2246467991473532e-16,-1.0,5,0.1289707720279693,4.5,Fallow,Low
-9.556,-20.4359,10.879850000000001,1.2246467991473532e-16,-1.0,5,0.1061595901846885,4.4,Fallow,Low
-10.8836,-19.1706,8.28701,1.2246467991473532e-16,-1.0,5,0.1092353835701942,4.9,Fallow,Low
-9.8967,-18.5101,8.61341,1.2246467991473532e-16,-1.0,5,0.1281006336212158,5.1,Fallow,Low
-9.9474,-19.9898,10.04233,1.2246467991473532e-16,-1.0,5,0.1376911848783493,5.23333333333333,Fallow,Low
-9.7347,-17.5463,7.811539999999999,1.2246467991473532e-16,-1.0,5,0.1160477697849273,3.1,Fallow,Low
-8.3977,-18.1889,9.791150000000002,1.2246467991473532e-16,-1.0,5,0.186812549829483,3.4,Fallow,Low
-10.9022,-20.4282,9.526010000000001,1.2246467991473532e-16,-1.0,5,0.0922049805521965,5.3,Fallow,Low
-9.0664,-20.152,11.08559,1.2246467991473532e-16,-1.0,5,0.110246829688549,5.9,Fallow,Low
-9.9862,-19.5414,9.555209999999999,1.2246467991473532e-16,-1.0,5,0.1095450147986412,5.1,Fallow,Low
-13.5217,-18.0639,4.542279999999998,1.2246467991473532e-16,-1.0,5,0.1077233105897903,5.3,Fallow,Low
-9.5324,-21.0133,11.48088,1.2246467991473532e-16,-1.0,5,0.113599881529808,2.0,Fallow,Low
-12.9274,-18.3412,5.413750000000002,1.2246467991473532e-16,-1.0,5,0.0959935933351516,5.6,Fallow,Low
-12.3096,-18.7518,6.4421800000000005,1.2246467991473532e-16,-1.0,5,0.1112631559371948,4.5,Fallow,Low
-7.2365,-17.4462,10.209700000000002,1.2246467991473532e-16,-1.0,5,0.1130384281277656,2.9,Fallow,Low
-5.3036,-16.9171,11.61355,1.2246467991473532e-16,-1.0,5,0.2131061851978302,4.4,Fallow,Low
-10.8002,-20.366,9.565750000000001,1.2246467991473532e-16,-1.0,5,0.0888526514172554,5.2,Fallow,Low
-9.4701,-20.0363,10.56623,1.2246467991473532e-16,-1.0,5,0.1174938827753067,4.4,Fallow,Low
-8.8186,-20.7206,11.90203,1.2246467991473532e-16,-1.0,5,0.1262910366058349,6.33333333333333,Fallow,Low
-6.3153,-14.8889,8.57356,1.2246467991473532e-16,-1.0,5,0.1808228492736816,5.9,Fallow,Low
-10.8824,-17.1218,6.239369999999999,1.2246467991473532e-16,-1.0,5,0.1809543818235397,9.6,Fallow,Low
-13.5511,-17.0888,3.537709999999999,1.2246467991473532e-16,-1.0,5,0.2519524693489074,10.6,Fallow,Medium
-6.1314,-14.66,8.528649999999999,1.2246467991473532e-16,-1.0,5,0.4231051504611969,8.4,Fallow,Low
-5.9116,-15.3702,9.458549999999999,1.2246467991473532e-16,-1.0,11,0.1262106001377105,3.0,Jowar,Low
-10.5901,-20.758,10.16798,1.2246467991473532e-16,-1.0,5,0.085263155400753,5.2,Fallow,Low
-11.8405,-20.2147,8.374220000000001,1.2246467991473532e-16,-1.0,5,0.1246627196669578,3.6,Fallow,Low
-12.924,-17.1784,4.254410000000002,1.2246467991473532e-16,-1.0,5,0.1093373075127601,4.0,Fallow,Low
-11.0489,-19.7462,8.69728,1.2246467991473532e-16,-1.0,5,0.0926806330680847,14.3,Fallow,Medium
-10.3795,-19.6409,9.26137,1.2246467991473532e-16,-1.0,5,0.098882183432579,4.73333333333333,Fallow,Low
-10.6719,-17.0116,6.339690000000001,1.2246467991473532e-16,-1.0,5,0.1365886926651001,8.8,Fallow,Low
-11.1207,-17.8998,6.7791099999999975,1.2246467991473532e-16,-1.0,5,0.2021806389093399,7.5,Fallow,Low
-6.9806,-19.117,12.136410000000001,1.2246467991473532e-16,-1.0,5,0.1541943401098251,16.5,Fallow,Medium
-11.1056,-15.6527,4.547140000000001,1.2246467991473532e-16,-1.0,5,0.1793349981307983,5.1,Fallow,Low
-12.8534,-16.7651,3.911609999999998,1.2246467991473532e-16,-1.0,5,0.1214201301336288,5.03333333333333,Fallow,Low
-10.2783,-19.2046,8.92631,1.2246467991473532e-16,-1.0,5,0.1490291953086853,10.1,Fallow,Medium
-11.121,-18.5113,7.3903099999999995,1.2246467991473532e-16,-1.0,5,0.1399112790822982,4.0,Fallow,Low
-10.8248,-17.2584,6.433640000000002,1.2246467991473532e-16,-1.0,5,0.1937256604433059,10.9,Fallow,Medium
-9.4462,-20.6972,11.250989999999998,1.2246467991473532e-16,-1.0,5,0.2999480366706848,12.1,Fallow,Medium
-8.3915,-21.2964,12.90484,1.2246467991473532e-16,-1.0,11,0.1697248220443725,7.6,Jowar,Low
-11.5857,-18.7334,7.147750000000002,1.2246467991473532e-16,-1.0,5,0.1220496892929077,4.5,Fallow,Low
-11.6128,-21.1489,9.536019999999999,1.2246467991473532e-16,-1.0,5,0.2156828939914703,9.2,Fallow,Low
-10.9807,-20.5708,9.59004,1.2246467991473532e-16,-1.0,5,0.1308256983757019,8.6,Fallow,Low
-11.7334,-14.9529,3.2194599999999998,1.2246467991473532e-16,-1.0,5,0.2572658061981201,5.3,Fallow,Low
-12.8976,-22.3723,9.4747,1.2246467991473532e-16,-1.0,5,0.1331827640533447,8.8,Fallow,Low
-11.0307,-22.9416,11.91089,1.2246467991473532e-16,-1.0,5,0.221028059720993,7.9,Fallow,Low
-9.2671,-18.837,9.569899999999999,1.2246467991473532e-16,-1.0,5,0.1547877490520477,8.0,Fallow,Low
-9.1529,-16.9023,7.749370000000001,1.2246467991473532e-16,-1.0,5,0.1802416890859604,7.5,Fallow,Low
-9.3778,-18.776,9.398190000000001,1.2246467991473532e-16,-1.0,5,0.1363851279020309,7.7,Fallow,Low
-10.1953,-21.2705,11.07527,1.2246467991473532e-16,-1.0,5,0.1294902563095092,6.53333333333333,Fallow,Low
-13.5831,-19.5702,5.987080000000001,1.2246467991473532e-16,-1.0,5,0.1274504959583282,10.1,Fallow,Medium
-7.6086,-17.8889,10.280359999999998,1.2246467991473532e-16,-1.0,5,0.1633215695619583,7.3,Fallow,Low
-11.9363,-20.2576,8.3213,1.2246467991473532e-16,-1.0,5,0.1359534561634063,5.7,Fallow,Low
