HH-pol,HV-pol,SM1 (%),Crop Name,label,NDVI,DpRVI,Depolarization_Rate
-12.73931,-18.60884,6.2,Fallow,Low,0.193379089236259,0.532308977289828,0.25884930305924425
-13.7772,-20.55642,6.0,Fallow,Low,0.157674610614777,0.46031177813251967,0.20993168905176343
-13.01777,-18.87309,5.2,Fallow,Low,0.229904919862747,0.5334732993417017,0.2596976382060824
-12.12883,-17.83792,4.6,Fallow,Low,0.107719145715237,0.5455172451575664,0.2685907178914875
-10.56085,-18.90542,7.2,Perl Millet,Low,0.0897435918450355,0.3504968965503204,0.1464006483353572
-10.87192,-17.31002,6.4,Fallow,Low,0.0946180522441864,0.4866880074980834,0.2270858114964392
-11.11697,-17.88612,9.6,Lemon,Medium,0.188642919063568,0.461078890158922,0.210419023101732
-8.47505,-17.83606,3.9,Fallow,Low,0.181405901908875,0.2899101373779561,0.11585079009586334
-13.27059,-18.08,9.9,Fallow,Medium,0.127756655216217,0.6217036090215915,0.3304144256204297
-9.52774,-15.92632,4.6,Fallow,Low,0.106646060943604,0.48979434280202666,0.22916168135509912
-11.35041,-18.37833,9.4,Perl Millet,Medium,0.236223831772804,0.44159782987235435,0.19824762810989516
-11.05268,-20.60588,5.6,Perl Millet,Low,0.128930822014809,0.27941991914746794,0.11083578460754877
-10.55465,-18.73426,3.63333333333333,Fallow,Low,0.147036179900169,0.3611420832480591,0.15206840822766005
-8.04576,-16.04432,4.8,Fallow,Low,0.22718808054924,0.3730844645975368,0.15854187861996571
-11.49121,-14.58091,6.0,Fallow,Low,0.107221007347107,0.770994415487976,0.4909417880385947
-12.41822,-19.93744,7.0,Fallow,Low,0.0995184555649757,0.4059912011438534,0.17704269013351412
-8.47065,-18.07469,6.1,Fallow,Low,0.152046784758568,0.2766957233269598,0.10954586777402463
-9.38149,-15.65567,4.66666666666667,Fallow,Low,0.101556099951267,0.4996380385541501,0.2358207411733956
-9.76782,-19.85343,5.6,Fallow,Low,0.112830959260464,0.25193264916715746,0.09804805886106549
-8.08993,-20.00043,6.0,Fallow,Low,0.0914105623960495,0.17421249827210686,0.06440951070567559
-13.25882,-19.69639,7.5,Fallow,Low,0.127156034111977,0.486729598827443,0.2271135260609384
-12.57703,-18.34802,6.0,Fallow,Low,0.440691292285919,0.5404053013632172,0.2647896466117817
-12.42413,-21.58351,4.23333333333333,Fallow,Low,0.123890392482281,0.3012438220943375,0.12135620865572024
-8.81033,-16.99902,4.5,Fallow,Low,0.100794643163681,0.3605502692880224,0.15175080375019004
-9.55602,-20.43587,4.4,Fallow,Low,0.0855704694986343,0.21508864400996514,0.08166105756015916
-10.88357,-19.17058,4.9,Fallow,Low,0.0791788846254348,0.35418571267971855,0.1483539110168517
-9.89672,-18.51013,5.1,Fallow,Low,0.0829769000411033,0.33363328745005866,0.13761285338949567
-9.94744,-19.98977,5.23333333333333,Fallow,Low,0.101141922175884,0.2540818557867509,0.09903005038214291
-9.73473,-17.54627,3.1,Fallow,Low,0.115421004593372,0.3857026642986728,0.1655182934665092
-8.39772,-18.18887,3.4,Fallow,Low,0.185468450188637,0.26685145425192447,0.10492645494584454
-10.90219,-20.4282,5.3,Fallow,Low,0.0867106467485427,0.28088555937185095,0.1115318741440589
-9.06636,-20.15195,5.9,Fallow,Low,0.110192835330963,0.20632414844863958,0.07788270017551556
-9.98621,-19.54142,5.1,Fallow,Low,0.0898524820804596,0.279311813639154,0.11078449950243328
-13.52166,-18.06394,5.3,Fallow,Low,0.148842334747314,0.6448263723065675,0.3513759234621288
-9.53244,-21.01332,2.0,Fallow,Low,0.147310212254524,0.19034491173110504,0.07110694168449755
-12.92742,-18.34117,5.6,Fallow,Low,0.112886048853397,0.5701654548218335,0.28749149415803793
-12.30961,-18.75179,4.5,Fallow,Low,0.122958689928055,0.486367894425739,0.22687257483822676
-7.23649,-17.44619,2.9,Fallow,Low,0.105936072766781,0.24585303894497204,0.09528619831242549
-5.30355,-16.9171,4.4,Fallow,Low,0.136872872710228,0.1852286797952171,0.06896758201383434
-10.80022,-20.36597,5.2,Fallow,Low,0.154878497123718,0.2787454744592476,0.11051595986009251
-9.4701,-20.03633,4.4,Fallow,Low,0.167670682072639,0.22905705923467176,0.08777624537923037
-8.81859,-20.72062,6.33333333333333,Fallow,Low,0.157894730567932,0.17451852238657173,0.06453525047748364
-6.31535,-14.88891,5.9,Fallow,Low,0.159406408667564,0.33609490068703873,0.13888137256908492
-10.88244,-17.12181,9.6,Fallow,Medium,0.238866403698921,0.5024100477218288,0.23771851028860705
-13.55108,-17.08879,10.6,Fallow,Medium,0.293703228235245,0.7323490957937048,0.4428218072033529
-6.13137,-14.66002,8.4,Fallow,Medium,0.598556637763977,0.33888497601274914,0.14032498355636772
-5.91162,-15.37017,3.0,Jowar,Low,0.148505300283432,0.28454813579921256,0.11327785063466543
-10.59007,-20.75805,5.2,Fallow,Low,0.0713468119502067,0.24788344380967725,0.09620596496244287
-11.84047,-20.21469,3.6,Fallow,Low,0.112295083701611,0.3486074804896659,0.14540455111121123
-12.92395,-17.17836,4.0,Fallow,Low,0.135316699743271,0.6698816297586593,0.3754559576457285
-11.04887,-19.74615,14.3,Fallow,Medium,0.0901537165045738,0.32849582577148834,0.13498080069122909
-10.3795,-19.64087,4.73333333333333,Fallow,Low,0.0975908562541008,0.29546879053216785,0.11853947514779391
-10.67191,-17.0116,8.8,Fallow,Medium,0.134191170334816,0.4944419629177807,0.23229025995473526
-11.12071,-17.89982,7.5,Fallow,Low,0.17484275996685,0.46032015382800784,0.20993700636045814
-6.98058,-19.11699,16.5,Fallow,Medium,0.118716575205326,0.16622395956851158,0.06114472555094205
-11.10559,-15.65273,5.1,Fallow,Low,0.148207604885101,0.644404389777726,0.35098293393164287
-12.85345,-16.76506,5.03333333333333,Fallow,Low,0.128784462809563,0.6997928936131621,0.40629268196412516
-10.27833,-19.20464,10.1,Fallow,Medium,0.124863088130951,0.3147661021034122,0.12804687974023274
-11.12096,-18.51127,4.0,Fallow,Low,0.15596330165863,0.41515373452450816,0.18237655170392994
-10.82477,-17.25841,10.9,Fallow,Medium,0.208947077393532,0.4870380599039291,0.22731913772781848
-9.44621,-20.6972,12.1,Fallow,Medium,0.179667845368385,0.19950217828818825,0.07497232859871454
-8.39153,-21.29637,7.6,Jowar,Low,0.141533717513084,0.14144777727357372,0.05122901433832401
-11.58569,-18.73344,4.5,Fallow,Low,0.135991260409355,0.43274338466056844,0.19285237871973226
-11.61284,-21.14886,9.2,Fallow,Medium,0.12991538643837,0.28034527800187325,0.11127510173109117
-10.98072,-20.57076,8.6,Fallow,Medium,0.149279534816742,0.27744378260703356,0.10989957172612835
-11.73344,-14.9529,5.3,Fallow,Low,0.32519942522049,0.7598604810193316,0.47649022972441485
-12.89758,-22.37228,8.8,Fallow,Medium,0.133004918694496,0.28366790214865534,0.11285738939579479
-11.03072,-22.94161,7.9,Fallow,Low,0.147404313087463,0.17419841887701012,0.06440372693858429
-9.26711,-18.83701,8.0,Fallow,Low,0.0932105854153633,0.2785227350593926,0.11041040425444781
-9.15293,-16.9023,7.5,Fallow,Low,0.113350123167038,0.3899601793399706,0.16790475679008365
-9.37779,-18.77598,7.7,Fallow,Low,0.0615980289876461,0.28785700488677063,0.11486322348010979
-10.19527,-21.27054,6.53333333333333,Fallow,Low,0.0900225043296814,0.20675637345317538,0.07806799039176318
-13.58312,-19.5702,10.1,Fallow,Medium,0.117085866630077,0.5227200499188865,0.25193702692441894
-7.60856,-17.88892,7.3,Fallow,Low,0.161822125315666,0.2424454907626846,0.09374842927600754
-11.93629,-20.25759,5.7,Fallow,Low,0.159471362829208,0.35198487353511676,0.14718718521606247
-10.76908,-18.3809,10.9,Fallow,Medium,0.164410054683685,0.3994903655012654,0.1733077563892694
-10.11747,-17.90145,11.1666666666667,Fallow,Medium,0.105871886014938,0.38758616885374764,0.1665719998975225
-9.63513,-14.17819,7.2,Fallow,Low,0.441930621862412,0.6447586439283597,0.3513128214377664
-10.83231,-19.34392,12.2,Fallow,Medium,0.255357801914215,0.3399480081054626,0.14087664490615276
-12.4923,-17.70054,3.6,Fallow,Low,0.11135371029377,0.5875439536870788,0.3014227307320066
-13.35141,-18.0166,3.5,Fallow,Low,0.135611906647682,0.6341680616576905,0.3415710069293033
-12.41044,-19.67101,5.0,Fallow,Low,0.126461982727051,0.4245059186509883,0.18790701776364105
-11.44702,-19.2646,4.1,Fallow,Low,0.243534475564957,0.3852907003135566,0.1652882570135838
-11.85436,-17.14774,2.0,Fallow,Low,0.1661506742239,0.5803235172865333,0.2955711218679417
-9.85575,-18.12351,3.3,Fallow,Low,0.227009117603302,0.35542551582846127,0.14901294571087828
-8.82562,-17.03471,26.5,Fallow,High,0.310126572847366,0.3592231307157014,0.15103966023292628
-12.17636,-19.5592,3.56666666666667,Fallow,Low,0.143709599971771,0.4156886648555498,0.18269051497417477
-8.50558,-15.9439,3.5,Fallow,Low,0.176136359572411,0.4117261037258242,0.18037153448772306
-9.61547,-16.58741,9.7,Perl Millet,Medium,0.292346298694611,0.44577087350906763,0.2008195548239136
-8.48319,-14.92623,8.1,Perl Millet,Medium,0.312753856182098,0.4863004335520552,0.2268276534529325
-9.25361,-16.75519,4.2,Fallow,Low,0.196553587913513,0.4072372875574088,0.17776325746417518
-7.76838,-15.93639,9.8,Perl Millet,Medium,0.325123161077499,0.36189913682858504,0.152475125678636
-10.4109,-17.86766,2.3,Fallow,Low,0.177142858505249,0.41041438886517384,0.1796073065120037
-11.28137,-19.2223,3.8,Fallow,Low,0.158040031790733,0.37694233586654946,0.16065971787896616
