HH-pol,HV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,SM1 (%),Crop Name,label
-11.70591,-19.3558,7.649889999999999,1.2246467991473532e-16,-1.0,5,4.8,Fallow,Low
-12.5956,-18.66204,6.066440000000002,1.2246467991473532e-16,-1.0,5,6.0,Fallow,Low
-8.31751,-16.24288,7.925369999999999,1.2246467991473532e-16,-1.0,5,4.7,Fallow,Low
-13.69957,-17.91339,4.21382,1.2246467991473532e-16,-1.0,5,5.3,Fallow,Low
-12.82822,-17.00291,4.17469,1.2246467991473532e-16,-1.0,5,3.93333333333333,Fallow,Low
-10.14318,-16.18518,6.042,1.2246467991473532e-16,-1.0,5,7.5,Fallow,Low
-9.92714,-13.4896,3.5624599999999997,1.2246467991473532e-16,-1.0,5,5.5,Fallow,Low
-8.02571,-17.00131,8.9756,1.2246467991473532e-16,-1.0,5,3.6,Fallow,Low
-8.50091,-14.90316,6.40225,1.2246467991473532e-16,-1.0,19,24.3,Perl Millet,High
-6.79147,-13.40384,6.61237,1.2246467991473532e-16,-1.0,5,4.13333333333333,Fallow,Low
-11.39931,-16.95714,5.557829999999999,1.2246467991473532e-16,-1.0,5,3.9,Fallow,Low
-10.37276,-18.10662,7.73386,1.2246467991473532e-16,-1.0,5,3.2,Fallow,Low
-12.73931,-18.60884,5.869530000000001,1.2246467991473532e-16,-1.0,5,6.2,Fallow,Low
-13.7772,-20.55642,6.779219999999999,1.2246467991473532e-16,-1.0,5,6.0,Fallow,Low
-13.01777,-18.87309,5.855320000000001,1.2246467991473532e-16,-1.0,5,5.2,Fallow,Low
-12.12883,-17.83792,5.70909,1.2246467991473532e-16,-1.0,5,4.6,Fallow,Low
-10.56085,-18.90542,8.34457,1.2246467991473532e-16,-1.0,19,7.2,Perl Millet,Low
-10.87192,-17.31002,6.438100000000002,1.2246467991473532e-16,-1.0,5,6.4,Fallow,Low
-11.11697,-17.88612,6.769149999999998,1.2246467991473532e-16,-1.0,13,9.6,Lemon,Low
-8.47505,-17.83606,9.36101,1.2246467991473532e-16,-1.0,5,3.9,Fallow,Low
-13.27059,-18.08,4.809409999999998,1.2246467991473532e-16,-1.0,5,9.9,Fallow,Medium
-9.52774,-15.92632,6.398580000000001,1.2246467991473532e-16,-1.0,5,4.6,Fallow,Low
-11.35041,-18.37833,7.027919999999998,1.2246467991473532e-16,-1.0,19,9.4,Perl Millet,Low
