VH-pol,VV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,SM1 (%),Crop Name,label
-19.2004,-11.362,-7.838399999999998,1.2246467991473532e-16,-1.0,2,11.0,Fallow,Low
-19.3545,-10.3853,-8.9692,1.2246467991473532e-16,-1.0,2,11.7,Fallow,Low
-18.0262,-9.28736,-8.73884,1.2246467991473532e-16,-1.0,2,12.6,Fallow,Medium
-17.6701,-10.0759,-7.594200000000001,1.2246467991473532e-16,-1.0,2,9.0,Fallow,Low
-17.6741,-9.78372,-7.890379999999999,1.2246467991473532e-16,-1.0,2,9.433333333333334,Fallow,Low
-17.0522,-10.5809,-6.471299999999999,1.2246467991473532e-16,-1.0,2,11.3,Fallow,Low
-17.3994,-8.69301,-8.70639,1.2246467991473532e-16,-1.0,2,11.4,Fallow,Low
-18.8472,-10.0669,-8.7803,1.2246467991473532e-16,-1.0,2,13.0,Fallow,Medium
-17.0854,-11.3063,-5.7791,1.2246467991473532e-16,-1.0,2,13.1,Fallow,Medium
-18.8801,-10.494,-8.386099999999999,1.2246467991473532e-16,-1.0,2,11.233333333333333,Fallow,Low
-17.9791,-10.2571,-7.7219999999999995,1.2246467991473532e-16,-1.0,2,8.1,Fallow,Low
-19.4073,-10.8857,-8.5216,1.2246467991473532e-16,-1.0,2,8.7,Fallow,Low
-18.6614,-9.75258,-8.90882,1.2246467991473532e-16,-1.0,2,13.9,Fallow,Medium
-17.8863,-10.2799,-7.606399999999999,1.2246467991473532e-16,-1.0,2,10.4,Fallow,Low
-18.8169,-10.4305,-8.3864,1.2246467991473532e-16,-1.0,2,11.9,Fallow,Medium
-18.6682,-12.405,-6.263199999999999,1.2246467991473532e-16,-1.0,2,10.1,Fallow,Low
-19.2397,-12.6364,-6.603299999999999,1.2246467991473532e-16,-1.0,2,11.6,Fallow,Low
-19.3978,-10.1275,-9.2703,1.2246467991473532e-16,-1.0,2,15.2,Fallow,Medium
