VH-pol,VV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,NDVI,SM1 (%),Crop Name,label
-18.0649,-11.2671,-6.797800000000002,1.2246467991473532e-16,-1.0,2,0.1324775218963623,13.233333333333334,Fallow,Medium
-19.5577,-10.9837,-8.574,1.2246467991473532e-16,-1.0,2,0.176811397075653,10.3,Fallow,Low
-18.5045,-11.2387,-7.2658000000000005,1.2246467991473532e-16,-1.0,2,0.2110114693641662,11.4,Fallow,Low
-17.6222,-11.2284,-6.393799999999999,1.2246467991473532e-16,-1.0,2,0.2721211314201355,17.6,Fallow,Medium
-17.0767,-9.8549,-7.221779999999999,1.2246467991473532e-16,-1.0,5,0.6012994050979614,26.0,Jowar,High
-18.6473,-9.8677,-8.779550000000002,1.2246467991473532e-16,-1.0,2,0.1481489986181259,7.333333333333334,Fallow,Low
-20.9566,-11.1439,-9.812700000000001,1.2246467991473532e-16,-1.0,2,0.074954904615879,10.2,Fallow,Low
-18.2791,-10.2719,-8.0072,1.2246467991473532e-16,-1.0,2,0.140630304813385,8.5,Fallow,Low
-19.2943,-9.9568,-9.33752,1.2246467991473532e-16,-1.0,2,0.1337050795555114,8.0,Fallow,Low
-20.0475,-11.714,-8.333499999999999,1.2246467991473532e-16,-1.0,2,0.0897434130311012,8.1,Fallow,Low
-20.9262,-12.143,-8.7832,1.2246467991473532e-16,-1.0,2,0.0969307869672775,9.233333333333334,Fallow,Low
-17.9532,-9.6848,-8.268389999999998,1.2246467991473532e-16,-1.0,2,0.1405574828386306,6.6,Fallow,Low
-18.7665,-10.8294,-7.937100000000001,1.2246467991473532e-16,-1.0,2,0.173407107591629,17.2,Fallow,Medium
-17.7435,-10.0962,-7.647300000000001,1.2246467991473532e-16,-1.0,2,0.1265143454074859,3.9,Fallow,Low
-16.7058,-9.2014,-7.50445,1.2246467991473532e-16,-1.0,2,0.1806512027978897,5.7,Fallow,Low
-18.4119,-11.1084,-7.3035,1.2246467991473532e-16,-1.0,2,0.1391904652118683,8.766666666666667,Fallow,Low
-18.6308,-11.0765,-7.554300000000001,1.2246467991473532e-16,-1.0,2,0.1391030997037887,7.2,Fallow,Low
-19.1417,-11.8857,-7.256,1.2246467991473532e-16,-1.0,2,0.1583146750926971,13.3,Fallow,Medium
-17.2233,-10.5804,-6.642899999999999,1.2246467991473532e-16,-1.0,2,0.2039255946874618,8.2,Fallow,Low
-17.1753,-10.3998,-6.775499999999999,1.2246467991473532e-16,-1.0,2,0.2711597383022308,8.9,Fallow,Low
-18.8407,-11.2846,-7.556099999999999,1.2246467991473532e-16,-1.0,2,0.1550578474998474,8.933333333333334,Fallow,Low
-17.3488,-9.5195,-7.829280000000001,1.2246467991473532e-16,-1.0,2,0.136697918176651,9.7,Fallow,Low
-17.6706,-9.7873,-7.883319999999999,1.2246467991473532e-16,-1.0,2,0.1239493414759635,17.9,Fallow,Medium
-17.7034,-9.3998,-8.303629999999998,1.2246467991473532e-16,-1.0,2,0.1416623145341873,12.6,Fallow,Medium
-16.0339,-10.5933,-5.4406,1.2246467991473532e-16,-1.0,2,0.2730542719364166,18.7,Fallow,Medium
-16.9512,-8.9618,-7.9894300000000005,1.2246467991473532e-16,-1.0,2,0.1336993873119354,9.1,Fallow,Low
-17.1563,-10.8594,-6.296900000000001,1.2246467991473532e-16,-1.0,2,0.2508651912212372,11.9,Fallow,Medium
-18.5095,-12.2991,-6.2104,1.2246467991473532e-16,-1.0,2,0.1275114864110946,12.5,Fallow,Medium
-18.4798,-10.8249,-7.654900000000001,1.2246467991473532e-16,-1.0,2,0.105815976858139,12.1,Fallow,Medium
-19.4062,-11.0028,-8.403399999999998,1.2246467991473532e-16,-1.0,2,0.0707429498434066,8.9,Fallow,Low
-19.7324,-12.7838,-6.948599999999999,1.2246467991473532e-16,-1.0,2,0.0837505087256431,15.833333333333332,Fallow,Medium
-17.8514,-9.533,-8.31839,1.2246467991473532e-16,-1.0,2,0.1159404218196868,11.7,Fallow,Low
-18.0516,-10.3351,-7.7165,1.2246467991473532e-16,-1.0,2,0.1618309915065765,17.4,Fallow,Medium
-17.7253,-10.8849,-6.840400000000001,1.2246467991473532e-16,-1.0,2,0.1373608261346817,9.4,Fallow,Low
-19.2972,-11.8369,-7.4603,1.2246467991473532e-16,-1.0,2,0.2034635841846466,10.1,Fallow,Low
-18.5062,-9.6521,-8.85411,1.2246467991473532e-16,-1.0,2,0.1089954376220703,19.9,Fallow,Medium
-14.899,-9.8917,-5.00732,1.2246467991473532e-16,-1.0,6,0.4896751940250397,13.2,Kshan,Medium
-16.0534,-9.3927,-6.660729999999999,1.2246467991473532e-16,-1.0,2,0.3084684908390045,15.9,Fallow,Medium
-18.6605,-12.3514,-6.309099999999999,1.2246467991473532e-16,-1.0,2,0.110310822725296,15.0,Fallow,Medium
-18.3215,-11.6278,-6.6937,1.2246467991473532e-16,-1.0,2,0.1399633884429931,13.9,Fallow,Medium
-16.5305,-10.2434,-6.287100000000001,1.2246467991473532e-16,-1.0,2,0.131758913397789,13.6,Fallow,Medium
-16.7013,-10.1378,-6.5634999999999994,1.2246467991473532e-16,-1.0,2,0.200198620557785,12.9,Fallow,Medium
-17.0844,-11.3743,-5.710099999999999,1.2246467991473532e-16,-1.0,2,0.2089653760194778,9.9,Fallow,Low
-16.5994,-10.1198,-6.4796,1.2246467991473532e-16,-1.0,2,0.1829434782266616,14.1,Fallow,Medium
-15.251,-10.4677,-4.783299999999999,1.2246467991473532e-16,-1.0,5,0.3124317824840545,27.4,Jowar,High
-16.6831,-10.2819,-6.401199999999999,1.2246467991473532e-16,-1.0,2,0.1424942165613174,10.966666666666667,Fallow,Low
-16.0747,-11.2853,-4.7894000000000005,1.2246467991473532e-16,-1.0,2,0.3164888024330139,14.8,Fallow,Medium
-17.487,-9.3182,-8.1688,1.2246467991473532e-16,-1.0,2,0.3166620135307312,21.4,Fallow,Medium
-16.8187,-9.2422,-7.5764700000000005,1.2246467991473532e-16,-1.0,2,0.3356067240238189,12.7,Fallow,Medium
-17.4671,-10.1068,-7.360299999999999,1.2246467991473532e-16,-1.0,2,0.1946022510528564,12.4,Fallow,Medium
