VH-pol,VV-pol,SM1 (%),Crop Name,label,NDVI
-18.7133,-10.4917,11.53333333333333,Fallow,Medium,0.1238903924822807
-19.2004,-11.362,11.0,Fallow,Medium,0.100794643163681
-19.3545,-10.3853,11.7,Fallow,Medium,0.0855704694986343
-18.0262,-9.28736,12.6,Fallow,Medium,0.0791788846254348
-17.6701,-10.0759,9.0,Fallow,Low,0.0829769000411033
-17.6741,-9.78372,9.433333333333334,Fallow,Low,0.1011419221758842
-17.0522,-10.5809,11.3,Fallow,Medium,0.1154210045933723
-17.3994,-8.69301,11.4,Fallow,Medium,0.1854684501886367
-18.8472,-10.0669,13.0,Fallow,Medium,0.0867106467485427
-17.0854,-11.3063,13.1,Fallow,Medium,0.1101928353309631
-18.8801,-10.494,11.23333333333333,Fallow,Medium,0.0898524820804596
-17.9791,-10.2571,8.1,Fallow,Low,0.1397733390331268
-19.4073,-10.8857,8.7,Fallow,Low,0.1488423347473144
-18.6614,-9.75258,13.9,Fallow,Medium,0.1473102122545242
-17.8863,-10.2799,10.4,Fallow,Low,0.1128860488533973
-18.8169,-10.4305,11.9,Fallow,Medium,0.1229586899280548
-18.6682,-12.405,10.1,Fallow,Low,0.1059360727667808
-19.2397,-12.6364,11.6,Fallow,Medium,0.1368728727102279
-19.3978,-10.1275,15.2,Fallow,Medium,0.1548784971237182
-17.1492,-10.9413,7.2,Fallow,Low,0.1676706820726394
-18.0649,-11.2671,13.23333333333333,Fallow,Medium,0.1578947305679321
-19.5577,-10.9837,10.3,Fallow,Low,0.1594064086675644
-18.5045,-11.2387,11.4,Fallow,Medium,0.2388664036989212
-17.6222,-11.2284,17.6,Fallow,Medium,0.2937032282352447
-17.0767,-9.85492,26.0,Jowar,High,0.598556637763977
-18.6473,-9.86775,7.333333333333334,Fallow,Low,0.148505300283432
-20.9566,-11.1439,10.2,Fallow,Low,0.0713468119502067
-18.2791,-10.2719,8.5,Fallow,Low,0.1122950837016105
-19.2943,-9.95678,8.0,Fallow,Low,0.1353166997432708
-20.0475,-11.714,8.1,Fallow,Low,0.0901537165045738
-20.9262,-12.143,9.233333333333334,Fallow,Low,0.0975908562541008
-17.9532,-9.68481,6.6,Fallow,Low,0.1341911703348159
-18.7665,-10.8294,17.2,Fallow,Medium,0.1748427599668502
-17.7435,-10.0962,3.9,Fallow,Low,0.118716575205326
-16.7058,-9.20135,5.7,Fallow,Low,0.1482076048851013
-18.4119,-11.1084,8.766666666666667,Fallow,Low,0.1287844628095626
-18.6308,-11.0765,7.2,Fallow,Low,0.1248630881309509
-19.1417,-11.8857,13.3,Fallow,Medium,0.1559633016586303
-17.2233,-10.5804,8.2,Fallow,Low,0.2089470773935318
-17.1753,-10.3998,8.9,Fallow,Low,0.1796678453683853
-18.8407,-11.2846,8.933333333333334,Fallow,Low,0.1415337175130844
-17.3488,-9.51952,9.7,Fallow,Low,0.1359912604093551
-17.6706,-9.78728,17.9,Fallow,Medium,0.1299153864383697
-17.7034,-9.39977,12.6,Fallow,Medium,0.1492795348167419
-16.0339,-10.5933,18.7,Fallow,Medium,0.3251994252204895
-16.9512,-8.96177,9.1,Fallow,Low,0.1330049186944961
-17.1563,-10.8594,11.9,Fallow,Medium,0.1474043130874633
-18.5095,-12.2991,12.5,Fallow,Medium,0.0932105854153633
-18.4798,-10.8249,12.1,Fallow,Medium,0.1133501231670379
-19.4062,-11.0028,8.9,Fallow,Low,0.0615980289876461
-19.7324,-12.7838,15.83333333333333,Fallow,Medium,0.0900225043296814
-17.8514,-9.53301,11.7,Fallow,Medium,0.1170858666300773
-18.0516,-10.3351,17.4,Fallow,Medium,0.1618221253156662
-17.7253,-10.8849,9.4,Fallow,Low,0.1594713628292083
-19.2972,-11.8369,10.1,Fallow,Low,0.1644100546836853
-18.5062,-9.65209,19.9,Fallow,Medium,0.1058718860149383
-14.899,-9.89168,13.2,Kshan,Medium,0.4419306218624115
-16.0534,-9.39267,15.9,Fallow,Medium,0.2553578019142151
-18.6605,-12.3514,15.0,Fallow,Medium,0.1113537102937698
-18.3215,-11.6278,13.9,Fallow,Medium,0.1356119066476822
-16.5305,-10.2434,13.6,Fallow,Medium,0.1264619827270507
-16.7013,-10.1378,12.9,Fallow,Medium,0.2435344755649566
-17.0844,-11.3743,9.9,Fallow,Low,0.1661506742238998
-16.5994,-10.1198,14.1,Fallow,Medium,0.227009117603302
-15.251,-10.4677,27.4,Jowar,High,0.3101265728473663
-16.6831,-10.2819,10.96666666666667,Fallow,Medium,0.1437095999717712
-16.0747,-11.2853,14.8,Fallow,Medium,0.1761363595724105
-17.487,-9.3182,21.4,Fallow,Medium,0.2923462986946106
-16.8187,-9.24223,12.7,Fallow,Medium,0.3127538561820984
-17.4671,-10.1068,12.4,Fallow,Medium,0.1965535879135131
-15.7395,-10.477,21.1,Fallow,Medium,0.3251231610774994
-19.1895,-11.367,14.8,Fallow,Medium,0.177142858505249
-18.713,-13.2955,15.8,Fallow,Medium,0.1580400317907333
-19.2663,-12.5666,11.1,Fallow,Medium,0.3296482264995575
-19.899,-11.8056,14.2,Fallow,Medium,0.1258544474840164
-19.4608,-12.0293,7.8,Fallow,Low,0.1813214123249054
-11.2685,-1.48456,7.5,Fallow,Low,0.1429961025714874
-18.2565,-10.5027,14.0,Fallow,Medium,0.2901119291782379
-18.0934,-10.1649,13.5,Fallow,Medium,0.1371640413999557
-16.6025,-11.1404,24.3,Jowar,High,0.7318975329399109
-16.7281,-10.2646,14.23333333333333,Fallow,Medium,0.1205857023596763
-20.4826,-11.6595,10.1,Fallow,Low,0.0936073064804077
-18.9009,-9.77062,20.4,Fallow,Medium,0.0988700538873672
-19.8562,-11.3501,18.1,Fallow,Medium,0.0879940316081047
-19.4171,-11.3875,17.5,Fallow,Medium,0.1050955429673194
-19.8455,-11.5504,17.46666666666667,Fallow,Medium,0.1514904052019119
-18.2091,-11.8073,50.0,Paddy,Very High,0.078248880803585
-19.2384,-8.37377,50.0,Paddy,Very High,0.0758998468518257
-18.4955,-8.82779,50.0,Paddy,Very High,0.1069767475128173
-18.841,-10.618,12.3,Fallow,Medium,0.2029562294483184
-18.8167,-10.0774,13.9,Fallow,Medium,0.2239955961704254
