rank,picp_bucket,lr,n_estimators,tau_lo,tau_hi,msl,depth,sub,q_hat,val_PICP,val_MPIW,test_PICP,test_MPIW,plot_file
51,90.2pct,0.025,500,0.15,0.85,15,4,0.8,5.3604,0.8947,26.7556,0.902,25.8368,90.2pct/rank51_picp90.2_mpiw25.84_lr0.025_n500_msl15_d4.png
52,90.2pct,0.025,450,0.15,0.85,15,4,0.8,5.2996,0.9013,26.8182,0.902,25.8792,90.2pct/rank52_picp90.2_mpiw25.88_lr0.025_n450_msl15_d4.png
53,90.2pct,0.032,450,0.2,0.8,20,4,1.0,6.5789,0.8816,26.7401,0.902,25.9271,90.2pct/rank53_picp90.2_mpiw25.93_lr0.032_n450_msl20_d4.png
54,90.2pct,0.02,600,0.15,0.85,25,5,1.0,5.4382,0.8947,26.6644,0.902,25.9539,90.2pct/rank54_picp90.2_mpiw25.95_lr0.02_n600_msl25_d5.png
55,90.2pct,0.02,550,0.15,0.85,25,5,1.0,5.3844,0.8947,26.7028,0.902,25.9668,90.2pct/rank55_picp90.2_mpiw25.97_lr0.02_n550_msl25_d5.png
56,90.2pct,0.032,800,0.15,0.85,22,5,1.0,6.1651,0.9079,26.9513,0.902,25.9708,90.2pct/rank56_picp90.2_mpiw25.97_lr0.032_n800_msl22_d5.png
57,90.2pct,0.035,800,0.15,0.85,15,4,0.9,6.1013,0.9013,26.9123,0.902,25.979,90.2pct/rank57_picp90.2_mpiw25.98_lr0.035_n800_msl15_d4.png
58,90.2pct,0.028,550,0.15,0.85,25,4,1.0,4.9638,0.9013,26.759,0.902,25.9847,90.2pct/rank58_picp90.2_mpiw25.98_lr0.028_n550_msl25_d4.png
59,90.2pct,0.03,600,0.15,0.85,22,5,1.0,5.881,0.9079,26.9247,0.902,25.9909,90.2pct/rank59_picp90.2_mpiw25.99_lr0.03_n600_msl22_d5.png
60,90.2pct,0.03,600,0.15,0.85,18,5,1.0,6.0509,0.9079,26.9411,0.902,25.9988,90.2pct/rank60_picp90.2_mpiw26.00_lr0.03_n600_msl18_d5.png
