lr,n_estimators,tau_lo,tau_hi,min_samples_leaf,max_depth,subsample,q_hat,base_w_te,val_PICP,val_MPIW,test_PICP,test_MPIW
0.02,450,0.2,0.8,18,4,0.9,7.050412,13.0277,0.877451,26.503789,0.887805,27.128505
0.02,450,0.2,0.8,18,4,1.0,7.135987,13.1447,0.892157,26.740295,0.892683,27.416665
0.02,450,0.2,0.8,18,5,0.8,7.124878,12.365,0.877451,26.183615,0.892683,26.614745
0.02,450,0.2,0.8,18,5,0.9,6.860615,12.5004,0.867647,25.629371,0.878049,26.221655
0.02,450,0.2,0.8,18,5,1.0,7.129324,12.6588,0.867647,26.372279,0.873171,26.917406
0.02,450,0.2,0.8,20,4,0.8,7.327743,12.9031,0.882353,27.096481,0.897561,27.558565
0.02,450,0.2,0.8,20,4,0.9,7.000804,12.9562,0.877451,26.290872,0.887805,26.957813
0.02,450,0.2,0.8,20,4,1.0,6.88902,13.2128,0.887255,26.312856,0.882927,26.990812
0.02,450,0.2,0.8,20,5,0.8,7.329513,12.171,0.882353,26.396936,0.887805,26.830049
0.02,450,0.2,0.8,20,5,0.9,7.757413,12.4769,0.897059,27.436841,0.907317,27.991691
0.02,450,0.2,0.8,20,5,1.0,7.385813,12.9514,0.892157,27.169497,0.882927,27.723008
0.02,450,0.2,0.8,22,4,0.8,6.423452,12.8263,0.872549,25.160702,0.873171,25.673204
0.02,450,0.2,0.8,22,4,0.9,7.338139,13.0471,0.882353,27.20707,0.902439,27.723363
0.02,450,0.2,0.8,22,4,1.0,7.50001,13.1154,0.877451,27.490488,0.902439,28.115384
0.02,450,0.2,0.8,22,5,0.8,7.127774,12.2152,0.867647,25.9392,0.887805,26.470792
0.02,450,0.2,0.8,22,5,0.9,7.723379,12.4638,0.887255,27.446558,0.902439,27.910527
0.02,450,0.2,0.8,22,5,1.0,7.459671,12.7111,0.887255,27.009205,0.897561,27.630491
0.02,450,0.2,0.8,25,4,0.8,6.888525,12.8831,0.877451,26.220479,0.892683,26.660119
0.02,450,0.2,0.8,25,4,0.9,6.550143,13.0099,0.867647,25.528204,0.878049,26.110163
0.02,450,0.2,0.8,25,4,1.0,6.961947,13.3377,0.882353,26.475527,0.897561,27.261561
0.02,450,0.2,0.8,25,5,0.8,7.348635,12.3729,0.882353,26.528177,0.892683,27.070144
0.02,450,0.2,0.8,25,5,0.9,7.323399,12.3101,0.877451,26.533444,0.897561,26.956908
0.02,450,0.2,0.8,25,5,1.0,7.454227,12.6959,0.887255,27.087509,0.902439,27.604366
0.02,450,0.2,0.8,30,4,0.8,6.610426,12.7814,0.892157,25.509286,0.873171,26.002202
0.02,450,0.2,0.8,30,4,0.9,7.013637,12.877,0.897059,26.357741,0.892683,26.904276
0.02,450,0.2,0.8,30,4,1.0,7.074893,13.3531,0.887255,26.792469,0.897561,27.50285
0.02,450,0.2,0.8,30,5,0.8,7.065232,12.3487,0.887255,25.975585,0.882927,26.479181
0.02,450,0.2,0.8,30,5,0.9,7.206349,12.5852,0.887255,26.390453,0.892683,26.997938
0.02,450,0.2,0.8,30,5,1.0,6.825347,12.6303,0.882353,25.668824,0.868293,26.281004
0.02,500,0.15,0.85,15,4,0.8,5.395206,15.4943,0.887255,25.918633,0.868293,26.284669
0.02,500,0.15,0.85,15,4,0.9,5.479805,15.6698,0.892157,26.161367,0.878049,26.629418
0.02,500,0.15,0.85,15,4,1.0,5.633808,15.7326,0.892157,26.582693,0.892683,27.000166
0.02,500,0.15,0.85,15,5,0.8,6.161144,14.795,0.887255,26.678835,0.887805,27.117286
